1,어린이보호구역에서 속도제한은 몇km/h일까요?,30km/h,40km/h,35km/h,45km/h,30km/h
2,우리나라 국보1호 문화재의 이름은?,숭례문,광화문,숭례문,서울 원각사지 십층석탑,경주 불국사 다보탑
3,우리나라 최초의 한글 소설로 전해지는 이 고전소설의 이름은?,홍길동전,춘향전,심청전,구운몽,홍길동전
4,제주도는 '삼다도'라고 불리기도 하는데 '삼다'에 해당되지 않는 것은 무엇일까요?,바다,여자,바람,돌,바다
5,현재 호주의 수도는?,캔버라,캔버라,시드니,멜버른,브리즈번
6,수영의 영법 중 하나로 '나비 영법'이라고도 불리는 이 영법의 이름은?,접영,평영,접영,잠영,배영
7,이집트의 수도는?,카이로,카트만두,카이로,카타르,카자흐스탄
8,화가 바뀌어 오히려 복이 된다'라는 뜻의 사자성어는?,전화위복,고진감래,새옹지마,전화위복,회로애락
9,조선 중기에 지었다고 하는 고전소설인 '홍길동전'의 저자는?,허균,허균,김만중,이이,신사임당
10,한국어의 문장의 구성 성분 중 동작이나 상태의 주체를 나타내는 말은?,주어,서술어,주어,목적어,관형어
11,공기 중에 가장 많이 포함되어 있는 기체는?,질소,질소,산소,수소,탄소
12,세계에서 가장 많은 섬을 가진 나라는?,인도네시아,인도네시아,필리핀,일본,대한민국
13,달러 화폐 중 1달러에 새겨진 인물은 누구일까요?,조지 워싱턴,벤저민 프랭클린,마틴 루터킹,조지 워싱턴,에이브러햄 링컨
14,세계에서 가장 작은 나라는 어디일까요?,바티칸시국,모나코,바티칸시국,나우루,투발루
15,"스포츠 경기에서, 최우수 선수를 의미하는 'MVP'는 무엇의 약어일까요?",Most Valuable Player,Multiple Valuable Player,Maximum Volatile Player,Minimum Viable Product,Most Valuable Player
16,5천원권 지폐에 있는 과일은?,수박,복숭아,배,포도,수박
17,대한민국 국가인 '애국가'를 작곡한 이 사람은 누구일까요?,안익태,엄대호,이흥렬,안익태,장일남
18,대한민국 최초 남극 과학기지로 알려진 '이 곳'의 이름은?,세종과학기지,독도과학기지,대한과학기지,민족과학기지,세종과학기지
19,"서울에서 타 도시까지 거리를 잴 때, 서울의 시작점이 되는 곳은 어디일까요?",광화문,국회의사당,청와대,남산,광화문
20,"죽은 뒤 큰 죄가 드러난 사람에게 내려진 극형이며, 무덤을 파고 관을 꺼내어 시체의 목을 잘라 거리에 내걸었던 이 형벌은?",부관참시,태형,능지처사,부관참시,사형
21,약효가 전혀 없는 '거짓약'을 진짜약으로 가장하여 환자에게 복용토록 후 환자의 병세가 호전되는 효과는 무엇일까요?,플라시보 효과,노시보 효과,피그말리온 효과,스티그마 효과,플라시보 효과
22,"신라의 제27대 최초의 여왕이며, 신라가 삼국통일을 이룩하는 기틀을 다졌고, 첨성대를 건립한 이 인물은 누구일까요?",선덕여왕,진덕여왕,진성여왕,선덕여왕,
23,"죽어서도 은혜를 잊지 않고 갚는다는 뜻으로, 은인을 구해주었다는 고사에서 유래한 이 사자성어는 무엇일까요?",결초보은,결초보은,백계무책,불모지지,사면초가
24,중국 삼국시대 촉한의 정치가 겸 전략가로 유비에 의해 '삼고초려'의 예로 초빙되었던 이 인물은 누구일까요?,제갈량,조조,초선,장양,제갈량
25,음악의 아버지는 누구일까요?,바흐,베토벤,모차르트,드뷔시,바흐
26,"삼국지에서 유비, 관우, 장비가 복숭아 밭에서 의형제를 맺은데서 비롯된 이 사자성어는 무엇일까요?",도원결의,산전수전,삼강오륜,도원결의,엄목포작
27,"정조가 그의 아버지 사도세자의 묘를 옮기면서 축조한 성으로, 방어 기지로써의 역할을 위해 건설된 이 유적의 이름은?",수원화성,경희궁,수원화성,오죽헌,대웅전
28,낙타의 혹은 대부분 '이것'으로 차있는데요. 이것은 무엇일까요?,지방,지방,근육,뼈,결합조직
29,"'물질적으로도 돕고, 마음으로도 돕다'라는 의미의 사자성어를 말하시오.",물심양면,견물생심,다정불심,수오지심,물심양면
30,"한산도 대첩과 명량 해전, 그리고 '이것'은 흔히 '이순신 장군의 3대 대첩'으로 불린다. 언급되지 않은 마지막 하나는 무엇인가요?",노량해전,행주 대첩,임오군란,노량해전,봉오동 전투
31,"순서가 있는 리스트에서 데이터의 삽입(Push), 삭제(Pop)가 한 쪽 끝에서 일어나며 LIFO(Last-In-First-Out)의 특징을 가지는 자료구조는?",Stack,Tree,Graph,Stack,Queue
