1,제주도는 '삼다도'라고 불리기도 하는데 '삼다'에 해당되지 않는 것은 무엇일까요?,바다,여자,바람,돌,바다,,"""제주도는 '삼다도'라고 불리기도 하는데 '삼다'에 해당되지 않는 것은 무엇일까요?""","""바다""","""여자""","""바람""","""돌""","""바다"""
2,소음 측정단위는 데시벨이라고 하는데 기호로는 어떻게 표시하나요?,dB,DB,dv,dV,dB,,"""소음 측정단위는 데시벨이라고 하는데 기호로는 어떻게 표시하나요?""","""dB""","""DB""","""dv""","""dV""","""dB"""
3,우리나라 국보1호 문화재의 이름은?,숭례문,광화문,숭례문,서울 원각사지 십층석탑,경주 불국사 다보탑,,"""우리나라 국보1호 문화재의 이름은?""","""숭례문""","""광화문""","""숭례문""","""서울 원각사지 십층석탑""","""경주 불국사 다보탑"""
4,현재 호주의 수도는?,캔버라,캔버라,시드니,멜버른,브리즈번,,"""현재 호주의 수도는?""","""캔버라""","""캔버라""","""시드니""","""멜버른""","""브리즈번"""
5,우리나라 최초의 한글 소설로 전해지는 이 고전소설의 이름은?,홍길동전,춘향전,심청전,구운몽,홍길동전,,"""우리나라 최초의 한글 소설로 전해지는 이 고전소설의 이름은?""","""홍길동전""","""춘향전""","""심청전""","""구운몽""","""홍길동전"""
6,우리나라의 초대대통령은 누구일까요?,이승만,박정희,전두환,이승만,김대중,,"""우리나라의 초대대통령은 누구일까요?""","""이승만""","""박정희""","""전두환""","""이승만""","""김대중"""
7,온도를 나타내는 단위에서 ºC는 섭씨온도라고 읽는다. 그럼 ºF는 뭐라고 읽을까요?,화씨온도,화씨온도,절대온도,랭킨온도,에프온도,,"""온도를 나타내는 단위에서 ºC는 섭씨온도라고 읽는다. 그럼 ºF는 뭐라고 읽을까요?""","""화씨온도""","""화씨온도""","""절대온도""","""랭킨온도""","""에프온도"""
8,대한민국 최초의 우주비행사는?,이소연,지소연,김소연,이소연,최소연,,"""대한민국 최초의 우주비행사는?""","""이소연""","""지소연""","""김소연""","""이소연""","""최소연"""
9,영화관에서 이른 오전에 첫 회로 상영하는 영화를 뭐라고 할까요?,조조영화,심야영화,패스트무비,조조영화,굿펄슨무비,,"""영화관에서 이른 오전에 첫 회로 상영하는 영화를 뭐라고 할까요?""","""조조영화""","""심야영화""","""패스트무비""","""조조영화""","""굿펄슨무비"""
10,신조어 'TMI'에서 'I'가 의미하는 것은?,정보,정보,인터넷,호기심,면접,,"""신조어 'TMI'에서 'I'가 의미하는 것은?""","""정보""","""정보""","""인터넷""","""호기심""","""면접"""
11,군대의 계급 순서로 맞는 것은?,일병-상병-병장,일병-이병-상병,이병-상병-병장,상병-하사-병장,일병-상병-병장,,"""군대의 계급 순서로 맞는 것은?""","""일병-상병-병장""","""일병-이병-상병""","""이병-상병-병장""","""상병-하사-병장""","""일병-상병-병장"""
12,화가 바뀌어 오히려 복이 된다'라는 뜻의 사자성어는?,전화위복,고진감래,새옹지마,전화위복,회로애락,,"""화가 바뀌어 오히려 복이 된다'라는 뜻의 사자성어는?""","""전화위복""","""고진감래""","""새옹지마""","""전화위복""","""회로애락"""
13,어린이보호구역에서 속도제한은 몇km/h일까요?,30km/h,40km/h,35km/h,45km/h,30km/h,,"""어린이보호구역에서 속도제한은 몇km/h일까요?""","""30km/h""","""40km/h""","""35km/h""","""45km/h""","""30km/h"""
14,물티슈의 영어표기로 알맞은 것은?,wet tissue,water tissue,hand tissue,hand tissue,wash tissue,,"""물티슈의 영어표기로 알맞은 것은?""","""wet tissue""","""water tissue""","""hand tissue""","""hand tissue""","""wash tissue"""
15,수영의 영법 중 하나로 '나비 영법'이라고도 불리는 이 영법의 이름은?,접영,평영,접영,잠영,배영,,"""수영의 영법 중 하나로 '나비 영법'이라고도 불리는 이 영법의 이름은?""","""접영""","""평영""","""접영""","""잠영""","""배영"""
16,"이것'은 털이 자라나오는 구멍이라는 뜻으로 피지, 여드름과 관련있는 '이것'은 무엇일까요?",모공,반점,모공,주름,각질,,"""이것'은 털이 자라나오는 구멍이라는 뜻으로 피지, 여드름과 관련있는 '이것'은 무엇일까요?""","""모공""","""반점""","""모공""","""주름""","""각질"""
17,초등학교의 옛 명칭은?,국민학교,국민학교,동아학교,국가학교,소인학교,,"""초등학교의 옛 명칭은?""","""국민학교""","""국민학교""","""동아학교""","""국가학교""","""소인학교"""
18,"이것'은 영어로 신문, 음료 등을 파는 매점을 뜻하며 터치스크린 방식의 정보전달 시스템인 무인단말기로 은행, 백화점, 영화관 등에 공공장소에 설치 되어있는 '이것'의 이름은?",키오스크,키이스트,카오스,키오스크,카이스트,,"""이것'은 영어로 신문, 음료 등을 파는 매점을 뜻하며 터치스크린 방식의 정보전달 시스템인 무인단말기로 은행, 백화점, 영화관 등에 공공장소에 설치 되어있는 '이것'의 이름은?""","""키오스크""","""키이스트""","""카오스""","""키오스크""","""카이스트"""
19,국가의 3요소가 아닌 것은?,군주,영토,군주,주권,국민,,"""국가의 3요소가 아닌 것은?""","""군주""","""영토""","""군주""","""주권""","""국민"""
20,이집트의 수도는?,카이로,카트만두,카이로,카타르,카자흐스탄,,"""이집트의 수도는?""","""카이로""","""카트만두""","""카이로""","""카타르""","""카자흐스탄"""
21,조선시대에 '갑비고차'라고 불리던 지역은 어디일까요?,강화도,울릉도,강화도,제주도,안면도,,"""조선시대에 '갑비고차'라고 불리던 지역은 어디일까요?""","""강화도""","""울릉도""","""강화도""","""제주도""","""안면도"""
22,주기율표에서 첫번째에 있는 '수소'는 원소기호로는 어떻게 표기할까요?,H,He,S,O,H,,"""주기율표에서 첫번째에 있는 '수소'는 원소기호로는 어떻게 표기할까요?""","""H""","""He""","""S""","""O""","""H"""
23,5천원권 지폐에 있는 과일은?,수박,복숭아,배,포도,수박,,"""5천원권 지폐에 있는 과일은?""","""수박""","""복숭아""","""배""","""포도""","""수박"""
24,선크림은 ___차단제라고도 불린다.,자외선,적외선,자외선,가시광선,원적외선,,"""선크림은 ___차단제라고도 불린다.""","""자외선""","""적외선""","""자외선""","""가시광선""","""원적외선"""
