1,'사이버 공간'을 이용하는 사람들이 지켜야 하는 예절을 뜻하는 말은?,네티켓,에티켓,네티켓,누리집,사회 규범
2,논설문의 3단 구성 요소가 아닌 것은?,참고,서론,본론,결론,참고
3,수의 범위 중 '같거나 큰'을 뜻하는 말은?,이상,이상,이하,초과,미만
4,우리나라가 광복을 맞이한 연도와 날짜는?,1945.08.15,1945.07.17,1950.06.25,1945.08.15,1965.08.15
5,"글의 종류 중 여행하면서 간 곳, 본 것, 느낀 점 등을 쓴 글은?",기행문,시,희곡,기행문,소설
6,우리나라의 초대대통령은 누구일까요?,이승만,박정희,전두환,이승만,김대중
7,온도를 나타내는 단위에서 ºC는 섭씨온도라고 읽는다. 그럼 ºF는 뭐라고 읽을까요?,화씨온도,화씨온도,절대온도,랭킨온도,에프온도
8,삼각형의 세 각의 합은 몇 도일까요?,180º,360º,180º,90º,270º
9,"철인 3종 경기는 사이클, 수영, 그리고 '이 종목'을 연이어 실시하는 경기를 말한다. 언급되지 않은 마지막 하나는 무엇인가요?",마라톤,다이빙,마라톤,승마,육상
10,신조어 'TMI'에서 'I'가 의미하는 것은?,정보,정보,인터넷,호기심,면접
11,우리나라 대통령의 임기는 몇 년일까요?,5년,3년,4년,6년,5년
12,세계에서 가장 유명한 그림인 '모나리자'의 화가는?,레오나르도 다빈치,에드바르드 뭉크,빈센트 반 고흐,레오나르도 다빈치,파블로 피카소
13,24절기 중 하나로 일 년 중 밤의 길이가 가장 긴 날을 무엇이라고 할까요?,동지,입춘,소서,추분,동지
14,헌법에 규정된 국민의 5대 의무에 포함되는 것이 아닌 것은?,건강,국방,근로,납세,건강
15,"가야금, 바이올린 등 줄을 켜거나 타서 소리를 내는 악기를 무엇이라고 할까요?",현악기,타악기,현악기,관악기,건반악기
16,"'이것'은 털이 자라나오는 구멍이라는 뜻으로 피지, 여드름과 관련있는 '이것'은 무엇일까요?",모공,반점,모공,주름,각질
17,초등학교의 옛 명칭은?,국민학교,국민학교,동아학교,국가학교,소인학교
18,"전지에서 볼록 튀어나온 끝부분이 (  )극이고, 평평한 끝부분이 (  )극이다.","+, -","+, +","+, -","-, +","-, -"
19,제2차 세계 대전 후 전쟁을 방지하고 평화를 유지하고자 1945년에 만든 국제기구는?,UN(국제연합),UN(국제연합),NATO(북대서양 조약 기구),EU(유럽연합),IOC(국제올림픽위원회)
20,1L는 몇 mL일까요?,1000mL,10mL,100mL,1000mL,10000mL
21,가장 작은 대륙으로 대부분 남반구에 있고 호주와 많은 섬이 있는 대륙은?,오세아니아,아시아,남아프리카,유럽,오세아니아
22,주기율표에서 첫번째에 있는 '수소'는 원소기호로는 어떻게 표기할까요?,H,He,S,O,H
23,태양에서 가장 가까운 행성은?,수성,금성,수성,지구,화성
24,선크림은 ___차단제라고도 불린다.,자외선,적외선,자외선,가시광선,원적외선
25,글피는 며칠 후를 나타내는 말일까요?,3일 후,1일 후,2일 후,3일 후,4일 후
26,심청이 아버지 심봉사의 이름은?,심학규,심학규,심학수,심학봉,심청규
27,큰곰자리의 꼬리와 엉덩이 부분 일곱 개의 빛나는 별은?,북두칠성,전갈자리,남두육성,페가수스자리,북두칠성
28,오감의 5가지 감각에 해당하지 않는 것?,평형감각,평형감각,청각,후각,촉각
29,모든 혈액형에게 피를 수혈해줄 수 있는 혈액형은?,O형,A형,B형,AB형,O형
30,우리나라는 몇 개의 광역시로 이루어져 있을까?,6개,5개,6개,7개,8개
31,천원 지폐에 새겨진 인물은?,퇴계이황,율곡이이,신사임당,세종대왕,퇴계이황
32,공공의 이익은 되지만 위험 시설 등이 자기 지역에 유치되는 것을 반대하는 지역 이기주의 현상을 무엇이라고 할까요?,님비 현상,님비 현상,핌피 현상,임피 현상,바나나 신드롬
33,색을 구별하는 데 필요한 3가지 속성은 무엇일까요?,톤,색상,명도,톤,채도
34,"2022년, 터키는 국명을 '이것'으로 변경했다. 변경한 국명은 무엇일까요?",튀르키예,앙카라,튀르키예,안탈리아,카파도키아
35,'상대방을 속이기위해 달콤한 말로 이득을 줄 것처럼 속이다'라는 의미를 가진 사자성어는 무엇인가요?,감언이설,각자도생,고군분투,감언이설,금시초문
36,'말이 이치에 맞지 않다'라는 의미의 사자성어는?,어불성설,다사다난,명명백백,어불성설,무용지물
37,위스키에 탄산수를 섞은 뒤 얼음을 넣어 마시는 음료는 무엇일까요?,하이볼,소주,증류주,하이볼,리큐르
